Date,Num Highs,Num Lows,Strength
2013-09-12,243,13,94.921875
2013-09-13,242,12,95.2755905511811
2013-09-16,256,8,96.96969696969695
2013-09-17,267,7,97.44525547445257
2013-09-18,281,7,97.56944444444444
2013-09-19,274,7,97.50889679715304
2013-09-20,262,9,96.6789667896679
2013-09-23,257,9,96.61654135338344
2013-09-24,253,8,96.93486590038314
2013-09-25,247,11,95.73643410852712
2013-09-26,251,11,95.80152671755724
2013-09-27,244,16,93.84615384615384
2013-09-30,237,19,92.578125
2013-10-01,247,17,93.56060606060606
2013-10-02,243,12,95.2941176470588
2013-10-03,229,21,91.6
2013-10-04,245,16,93.86973180076627
2013-10-07,223,20,91.76954732510288
2013-10-08,187,24,88.62559241706161
2013-10-09,191,21,90.09433962264151
2013-10-10,238,17,93.33333333333331
2013-10-11,252,15,94.3820224719101
2013-10-14,258,14,94.85294117647058
2013-10-15,241,20,92.33716475095784
2013-10-16,262,17,93.9068100358423
2013-10-17,272,16,94.44444444444444
2013-10-18,269,12,95.72953736654804
2013-10-21,273,13,95.45454545454544
2013-10-22,284,13,95.62289562289564
2013-10-23,267,13,95.35714285714286
2013-10-24,263,8,97.0479704797048
2013-10-25,277,10,96.51567944250873
2013-10-28,281,10,96.56357388316152
2013-10-29,286,8,97.27891156462584
2013-10-30,278,12,95.86206896551724
2013-10-31,271,12,95.75971731448765
2013-11-01,274,11,96.140350877193
2013-11-04,287,10,96.63299663299664
2013-11-05,273,12,95.78947368421052
2013-11-06,279,14,95.22184300341296
2013-11-07,256,13,95.16728624535315
2013-11-08,285,19,93.75
2013-11-11,283,18,94.01993355481729
2013-11-12,280,21,93.02325581395348
2013-11-13,292,15,95.11400651465796
2013-11-14,289,12,96.01328903654483
2013-11-15,295,13,95.77922077922078
2013-11-18,290,13,95.7095709570957
2013-11-19,279,14,95.22184300341296
2013-11-20,275,16,94.5017182130584
2013-11-21,285,16,94.6843853820598
2013-11-22,286,19,93.77049180327867
2013-11-25,282,19,93.687707641196
2013-11-26,282,21,93.06930693069307
2013-11-27,284,19,93.72937293729372
2013-11-29,279,20,93.31103678929766
2013-12-02,278,21,92.97658862876254
