,Value
2007-06-29,96.15800144984347
2007-07-02,96.15800144984347
2007-07-03,96.15800144984347
2007-07-05,96.15800144984347
2007-07-06,96.15800144984347
2007-07-09,96.15800144984347
2007-07-10,96.15800144984347
2007-07-11,96.15800144984347
2007-07-12,96.15800144984347
2007-07-13,96.15800144984347
2007-07-16,96.15800144984347
2007-07-17,96.15800144984347
2007-07-18,96.15800144984347
2007-07-19,96.15800144984347
2007-07-20,96.15800144984347
2007-07-23,96.15800144984347
2007-07-24,96.15800144984347
2007-07-25,96.15800144984347
2007-07-26,96.15800144984347
2007-07-27,96.15800144984347
2007-07-30,96.15800144984347
2007-07-31,72.71082163411296
2007-08-01,72.71082163411296
2007-08-02,72.71082163411296
2007-08-03,72.71082163411296
2007-08-06,72.71082163411296
2007-08-07,72.71082163411296
2007-08-08,72.71082163411296
2007-08-09,72.71082163411296
2007-08-10,72.71082163411296
2007-08-13,72.71082163411296
2007-08-14,72.71082163411296
2007-08-15,72.71082163411296
2007-08-16,72.71082163411296
2007-08-17,72.71082163411296
2007-08-20,72.71082163411296
2007-08-21,72.71082163411296
2007-08-22,72.71082163411296
2007-08-23,72.71082163411296
2007-08-24,72.71082163411296
2007-08-27,72.71082163411296
2007-08-28,72.71082163411296
2007-08-29,72.71082163411296
2007-08-30,72.71082163411296
2007-08-31,27.289178365887057
2007-09-04,27.289178365887057
2007-09-05,27.289178365887057
2007-09-06,27.289178365887057
2007-09-07,27.289178365887057
2007-09-10,27.289178365887057
2007-09-11,27.289178365887057
2007-09-12,27.289178365887057
2007-09-13,27.289178365887057
2007-09-14,27.289178365887057
2007-09-17,27.289178365887057
2007-09-18,27.289178365887057
2007-09-19,27.289178365887057
2007-09-20,27.289178365887057
2007-09-21,27.289178365887057
2007-09-24,27.289178365887057
2007-09-25,27.289178365887057
2007-09-26,27.289178365887057
2007-09-27,27.289178365887057
2007-09-28,27.289178365887057
2007-10-01,94.26758241011312
2007-10-02,94.26758241011312
2007-10-03,94.26758241011312
2007-10-04,94.26758241011312
2007-10-05,94.26758241011312
2007-10-08,94.26758241011312
2007-10-09,94.26758241011312
2007-10-10,94.26758241011312
2007-10-11,94.26758241011312
2007-10-12,94.26758241011312
2007-10-15,94.26758241011312
2007-10-16,94.26758241011312
2007-10-17,94.26758241011312
2007-10-18,94.26758241011312
2007-10-19,94.26758241011312
2007-10-22,94.26758241011312
2007-10-23,94.26758241011312
2007-10-24,94.26758241011312
2007-10-25,94.26758241011312
2007-10-26,94.26758241011312
2007-10-29,94.26758241011312
2007-10-30,94.26758241011312
2007-10-31,89.0903178804387
2007-11-01,89.0903178804387
2007-11-02,89.0903178804387
2007-11-05,89.0903178804387
2007-11-06,89.0903178804387
2007-11-07,89.0903178804387
2007-11-08,89.0903178804387
2007-11-09,89.0903178804387
2007-11-12,89.0903178804387
2007-11-13,89.0903178804387
2007-11-14,89.0903178804387
2007-11-15,89.0903178804387
2007-11-16,89.0903178804387
2007-11-19,89.0903178804387
2007-11-20,89.0903178804387
2007-11-21,89.0903178804387
2007-11-23,89.0903178804387
2007-11-26,89.0903178804387
2007-11-27,89.0903178804387
2007-11-28,89.0903178804387
2007-11-29,89.0903178804387
2007-11-30,6.537533342557267
2007-12-03,6.537533342557267
2007-12-04,6.537533342557267
2007-12-05,6.537533342557267
2007-12-06,6.537533342557267
2007-12-07,6.537533342557267
2007-12-10,6.537533342557267
2007-12-11,6.537533342557267
2007-12-12,6.537533342557267
2007-12-13,6.537533342557267
2007-12-14,6.537533342557267
2007-12-17,6.537533342557267
2007-12-18,6.537533342557267
2007-12-19,6.537533342557267
2007-12-20,6.537533342557267
2007-12-21,6.537533342557267
2007-12-24,6.537533342557267
2007-12-26,6.537533342557267
2007-12-27,6.537533342557267
2007-12-28,6.537533342557267
2007-12-31,12.346704756522398
2008-01-02,12.346704756522398
2008-01-03,12.346704756522398
2008-01-04,12.346704756522398
2008-01-07,12.346704756522398
2008-01-08,12.346704756522398
2008-01-09,12.346704756522398
2008-01-10,12.346704756522398
2008-01-11,12.346704756522398
2008-01-14,12.346704756522398
2008-01-15,12.346704756522398
2008-01-16,12.346704756522398
2008-01-17,12.346704756522398
2008-01-18,12.346704756522398
2008-01-22,12.346704756522398
