,PCR
2023-03-09,19.94056848322629
2023-03-10,13.572654028768909
2023-03-13,9.048472696188663
2023-03-14,6.0323538726334265
2023-03-15,5.837898913989156
2023-03-16,4.322448504338461
2023-03-17,18.418491919265737
2023-03-20,30.30562549008998
2023-03-21,53.219796693075445
2023-03-22,60.11315544297036
2023-03-23,62.62602363481495
2023-03-24,42.77793748266212
2023-03-27,31.72757936656772
2023-03-28,34.22853648100346
2023-03-29,25.284101342952486
2023-03-30,37.37365985770246
2023-03-31,40.50996576568555
2023-04-03,56.23614128275337
2023-04-04,64.00423438852859
2023-04-05,43.71676392228394
2023-04-06,44.7465287573775
2023-04-10,38.640431078620054
2023-04-11,48.56646427604547
2023-04-12,63.90815646825848
2023-04-13,49.56059645980941
2023-04-14,57.813857128189206
2023-04-17,56.55660791953568
2023-04-18,55.713086384365965
2023-04-19,57.57229897879294
2023-04-20,38.81769664381977
2023-04-21,28.376740725306576
2023-04-24,45.55841658868809
2023-04-25,61.33823662702323
2023-04-26,40.91466869718171
2023-04-27,27.333188154423578
2023-04-28,25.53639499693121
2023-05-01,18.52182716083512
2023-05-02,19.76122300391077
2023-05-03,14.029207776584016
2023-05-04,11.400913609291711
2023-05-05,7.870822155295826
2023-05-08,14.859352739374728
2023-05-09,13.55920322287354
2023-05-10,23.27552141908826
2023-05-11,27.394153006586524
2023-05-12,32.527649038550486
2023-05-15,29.487356842206825
2023-05-16,51.41444332494308
2023-05-17,46.12490264818546
2023-05-18,42.616692040207475
2023-05-19,47.60822241351676
2023-05-22,63.48225201178311
2023-05-23,74.75055369907537
2023-05-24,79.43666822551221
2023-05-25,54.12606300063468
2023-05-26,67.7949536473726
2023-05-30,77.84035858358841
2023-05-31,84.83809489006987
2023-06-01,56.90995022598293
2023-06-02,68.36655011889714
2023-06-05,78.38431587047977
2023-06-06,83.33002838496054
2023-06-07,87.59160296637378
2023-06-08,87.75548958873132
2023-06-09,88.77505639723366
2023-06-12,92.2079398441108
2023-06-13,94.23794407560291
2023-06-14,94.32688524584216
2023-06-15,65.30995948128104
2023-06-16,76.29617763924375
2023-06-20,84.09837819616284
2023-06-21,89.06622143601173
2023-06-22,91.89256327860339
2023-06-23,81.06362134922057
2023-06-26,73.83210642483374
2023-06-27,81.07169635389381
2023-06-28,86.75212098028187
2023-06-29,86.614372698838
2023-06-30,87.55206953918757
2023-07-03,90.83246619115175
2023-07-05,93.23020389442979
2023-07-06,94.81856346848896
2023-07-07,95.86722623084512
2023-07-10,96.55597921788171
2023-07-11,97.18248064156715
2023-07-12,98.10673012380329
2023-07-13,98.00537451348453
2023-07-14,97.9268705954192
2023-07-17,98.38593200656753
2023-07-18,96.51074279834863
2023-07-19,97.2419302724551
2023-07-20,97.91815498940356
2023-07-21,89.70848910436332
2023-07-24,90.60881073455771
2023-07-25,93.28505505762438
2023-07-26,91.08988031634756
2023-07-27,92.08243103347593
2023-07-28,92.08276672932897
2023-07-31,65.23054574796096
2023-08-01,74.1774751386288
2023-08-02,78.23504638407208
2023-08-03,73.9977195948925
2023-08-04,71.15352530056178
2023-08-07,59.567708286756194
2023-08-08,54.247012087924126
2023-08-09,50.70829758174699
2023-08-10,41.81245346090966
2023-08-11,32.832836315780014
2023-08-14,22.18147124292032
2023-08-15,19.855516741674275
2023-08-16,14.535190529487151
2023-08-17,9.690445168289896
2023-08-18,6.462297831059107
2023-08-21,5.377523260532777
2023-08-22,35.14920214651267
2023-08-23,32.30340146859445
2023-08-24,21.558438814603658
2023-08-25,14.832786383464788
2023-08-28,9.890716092785839
2023-08-29,7.467508329359095
2023-08-30,12.634050215333483
2023-08-31,8.484721152329275
2023-09-01,17.600640959714152
2023-09-05,28.544493002687233
2023-09-06,21.184521770395545
2023-09-07,14.124803530829643
2023-09-08,9.712927177833636
2023-09-11,8.210330873064317
2023-09-12,12.086106280728833
2023-09-13,8.18341842891398
2023-09-14,5.455628831497335
2023-09-15,3.7384313455783444
2023-09-18,9.701086611158726
2023-09-19,33.24269103976226
2023-09-20,23.625246833712755
2023-09-21,16.370680388846402
2023-09-22,10.957368759600529
2023-09-25,7.41437337584276
2023-09-26,10.977138216848468
2023-09-27,7.364150456294511
2023-09-28,4.917315148477634
